### Indeks Ketimpangan Gender (IKG) Provinsi Nusa Tenggara Barat menurut Kabupaten/Kota
Kabupaten/Kota,2018,2019,2020
Kabupaten Lombok Barat,0.437,0.448,0.457
Kabupaten Lombok Tengah,0.451,0.453,0.465
Kabupaten Lombok Timur,0.453,0.460,0.472
Kabupaten Sumbawa,0.470,0.469,0.478
Kabupaten Dompu,0.445,0.448,0.453
Kabupaten Bima,0.443,0.444,0.456
Kabupaten Sumbawa Barat,0.454,0.456,0.465
Kabupaten Lombok Utara,0.431,0.432,0.444
Kota Mataram,0.434,0.435,0.445
Kota Bima,0.437,0.439,0.448
Nusa Tenggara Barat,0.445,0.447,0.456
