### Indeks Pemberdayaan Gender (IDG) Provinsi Nusa Tenggara Barat menurut Kabupaten/Kota
Kabupaten/Kota,2018,2019,2020
Kabupaten Lombok Barat,60.2,61.3,62.1
Kabupaten Lombok Tengah,59.4,60.6,61.4
Kabupaten Lombok Timur,58.9,59.8,60.6
Kabupaten Sumbawa,57.5,58.6,59.2
Kabupaten Dompu,60.3,61.5,62.3
Kabupaten Bima,61.1,62.2,63.0
Kabupaten Sumbawa Barat,58.2,59.4,60.1
Kabupaten Lombok Utara,62.1,63.2,64.0
Kota Mataram,63.4,64.6,65.3
Kota Bima,61.2,62.3,63.1
Nusa Tenggara Barat,60.3,61.5,62.2
