### Rata-Rata Lama Sekolah (RLS) Provinsi Nusa Tenggara Barat menurut Kabupaten/Kota dan Jenis Kelamin
Kabupaten/Kota,Laki-Laki,Perempuan,Rata-rata Total
Kabupaten Lombok Barat,7.5,7.2,7.4
Kabupaten Lombok Tengah,7.3,7.0,7.2
Kabupaten Lombok Timur,7.2,7.1,7.2
Kabupaten Sumbawa,7.7,7.5,7.6
Kabupaten Dompu,7.4,7.2,7.3
Kabupaten Bima,7.6,7.4,7.5
Kabupaten Sumbawa Barat,7.5,7.3,7.4
Kabupaten Lombok Utara,7.8,7.6,7.7
Kota Mataram,8.0,7.8,7.9
Kota Bima,7.6,7.4,7.5
Nusa Tenggara Barat,7.6,7.4,7.5
